county,total_lost
CROCKETT,34630
HARRISON,34031
UPTON,23142
REAGAN,22464
MIDLAND,20120
REEVES,18768
WARD,18378
ECTOR,18273
ANDREWS,15796
MARTIN,13933
HOWARD,13178
EDWARDS,13109
GLASSCOCK,10897
LOVING,9339
SCURRY,9337
HARRIS,9077
NOLAN,8701
DE WITT,8112
WEBB,7970
DIMMIT,7944
PECOS,7832
GAINES,6670
KARNES,6606
LA SALLE,6578
CRANE,6286
CULBERSON,6228
YOAKUM,6125
HOUSTON,5840
STARR,5603
WINKLER,5603
WHEELER,5593
BORDEN,5488
NUECES,5295
KENT,5104
MCMULLEN,4722
FISHER,4205
RUSK,4159
CALDWELL,4087
DUVAL,4070
HOCKLEY,3942
IRION,3901
WISE,3864
PANOLA,3773
GRIMES,3758
HEMPHILL,3733
STEPHENS,3427
FRIO,3302
KLEBERG,3285
ATASCOSA,3248
COOKE,3193
FORT BEND,3185
GONZALES,2977
HUTCHINSON,2911
ARCHER,2881
GRAY,2867
COCHRAN,2731
JACK,2712
MITCHELL,2674
ROBERTS,2491
GARZA,2374
GREGG,2337
TOM GREEN,2262
PALO PINTO,2261
HIDALGO,2253
YOUNG,2184
OCHILTREE,2154
JIM HOGG,2149
UPSHUR,2149
RUNNELS,2093
NACOGDOCHES,2088
LIPSCOMB,2076
DAWSON,2014
THROCKMORTON,1784
DENTON,1770
LIVE OAK,1728
SMITH,1661
COLEMAN,1612
WICHITA,1541
GRAYSON,1467
ZAPATA,1418
TERRY,1360
GALVESTON,1332
JONES,1286
SCHLEICHER,1243
BRAZORIA,1242
MONTAGUE,1169
LAVACA,1133
HARDIN,1071
STONEWALL,1048
LUBBOCK,993
WOOD,993
MATAGORDA,981
HOOD,977
FREESTONE,972
GUADALUPE,962
ZAVALA,960
CALLAHAN,941
CARSON,919
NAVARRO,895
POLK,885
EASTLAND,870
WHARTON,866
WILSON,860
WILBARGER,857
WILLACY,850
SAN PATRICIO,826
BROWN,802
STERLING,799
LIBERTY,783
JIM WELLS,767
TERRELL,741
BROOKS,737
JEFFERSON,734
CONCHO,728
MADISON,691
LEE,645
COLLIN,641
REFUGIO,639
CLAY,622
HASKELL,611
LEON,604
SHACKELFORD,603
HANSFORD,590
BURLESON,589
FAYETTE,584
CROSBY,577
PARKER,546
BRAZOS,536
SHELBY,523
COKE,508
BEXAR,482
POTTER,471
TAYLOR,471
MOORE,445
SABINE,444
KING,442
DICKENS,429
HARDEMAN,429
HENDERSON,414
ANDERSON,393
VICTORIA,380
LYNN,363
MENARD,356
MONTGOMERY,348
COLORADO,330
ANGELINA,329
CHEROKEE,328
MILAM,293
MARION,282
COTTLE,237
ERATH,237
GOLIAD,212
HALE,210
WASHINGTON,207
Austin,194
TITUS,168
SUTTON,160
KENEDY,158
VAN ZANDT,145
JOHNSON,136
BEE,126
MEDINA,124
FRANKLIN,118
CASS,112
KAUFMAN,100
SAN SABA,100
WALKER,100
MAVERICK,99
SAN JACINTO,93
LIMESTONE,88
NEWTON,87
ORANGE,85
BAYLOR,80
HOPKINS,74
CALHOUN,69
ARANSAS,59
CHAMBERS,51
FLOYD,44
ELLIS,40
JACKSON,40
HUDSPETH,39
CHILDRESS,38
COMANCHE,38
OLDHAM,36
TARRANT,25
ROBERTSON,20
FOARD,18
KNOX,15
CAMP,12
LAMB,11
BELL,10
WALLER,5
WILLIAMSON,5
BASTROP,4
FALLS,4
MCCULLOCH,4
MOTLEY,4
SAN AUGUSTINE,3
TYLER,2
HARTLEY,1
HILL,1
JASPER,1
MASON,0
SHERMAN,0
